,Open Play Goals,Goals with right foot,Goals with left foot,Position,Appearances,Rank,Total Goals,Open Play Goals / Game,Headed goals,Name
885,86.0,68.0,17.0,Forward,143,1,102,0.6013986013986014,16.0,Sergio Agüero 
428,80.0,61.0,25.0,Forward,177,2,98,0.4519774011299435,12.0,Jamie Vardy 
854,74.0,44.0,20.0,Forward,164,3,74,0.45121951219512196,10.0,Sadio Mané 
837,68.0,18.0,37.0,Forward,140,4,71,0.4857142857142857,15.0,Romelu Lukaku 
719,66.0,11.0,58.0,Forward,108,5,73,0.6111111111111112,4.0,Mohamed Salah 
832,55.0,29.0,14.0,Forward,175,6,57,0.3142857142857143,13.0,Roberto Firmino 
902,53.0,29.0,21.0,Forward,160,7,53,0.33125,3.0,Son Heung-Min 
83,49.0,36.0,11.0,Forward,145,8,51,0.33793103448275863,4.0,Anthony Martial 
236,48.0,31.0,10.0,Midfielder,156,9,50,0.3076923076923077,9.0,Dele Alli 
368,48.0,32.0,15.0,Forward,75,9,55,0.64,7.0,Harry Kane 
802,46.0,43.0,8.0,Forward,85,11,54,0.5411764705882353,3.0,Pierre-Emerick Aubameyang 
766,44.0,4.0,22.0,Forward,141,12,45,0.3120567375886525,19.0,Olivier Giroud 
827,42.0,9.0,41.0,Forward,169,13,53,0.2485207100591716,2.0,Riyad Mahrez 
53,40.0,34.0,6.0,Forward,99,14,46,0.40404040404040403,6.0,Alexis Sánchez 
267,40.0,35.0,13.0,Forward,138,14,48,0.2898550724637681,0.0,Eden Hazard 
322,39.0,21.0,12.0,Forward,102,16,41,0.38235294117647056,8.0,Gabriel Jesus 
644,37.0,35.0,5.0,Forward,142,17,44,0.2605633802816901,4.0,Marcus Rashford 
519,36.0,38.0,9.0,Forward,161,18,48,0.2236024844720497,1.0,Joshua King 
705,35.0,14.0,5.0,Forward,133,19,36,0.2631578947368421,18.0,Michail Antonio 
